section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc346(1.1)(a)(i),extortion — restricted or prohibited firearm or criminal organization — first offence,5y,life,,
cc346(1.1)(a)(ii),extortion — restricted or prohibited firearm or criminal organization — subsequent offence,7y,life,,
cc346(1.1)(b),extortion,,life,,
cc347,criminal interest rate,,5y,,25000$-729d-729d&25000$
cc348(1)(d),breaking and entering with intent committing offence or breaking out — dwelling-house,,life,,
cc348(1)(e),breaking and entering with intent committing offence or breaking out — non-dwelling-house,,10y,
cc349,being unlawfully in dwelling-house,,10y,,summary
cc351(1),possession of break-in instrument,,10y,,summary
cc351(2),disguise with intent,,10y,,summary
cc352,possession of instruments for breaking into coin-operated or currency exchange devices,,2y,,summary
cc353,selling automobile master key,,2y,,summary
cc353.1,tampering with vehicle identification number,,5y,,summary
cc355(a),possessing property obtained by crime — over $5000,,10y,,summary
cc355(b),possessing property obtained by crime — under $5000,,2y,,summary
cc355.5(a),possessing or trafficking in property obtained by crime — over $5000,,14y,,
cc355.5(b),possessing or trafficking in property obtained by crime — under $5000,,5y,,summary
cc356,theft from mail,,10y,,summary
cc357,bringing into canada property obtained by crime,,10y,,summary
cc362(2)(a),false pretence or false statement — theft over $5000,,10y,,summary
cc362(2)(b),false pretence or false statement — theft under $5000,,2y,,summary
cc362(3),false pretence or false statemetn — other,,10y,,summary
cc363,obtaining execution of valuable security by fraud,,5y,,summary
cc364,fraudulently obtaining food beverage or accommodation,,,,summary
cc367,forgery,,10y,,summary
cc368,use traffkcing or possession of forged document,,10y,,summary
cc368.1,forgery instruments,,14y,,summary
cc369,exchequer bill paper public seals,,14y,,
cc372(1),false information,,2y,,summary
cc372(2),indecent communications,,2y,,summary
cc372(3),harassing communications,,2y,,summary
cc374,draw document without authority,,14y,,
cc375,obtaining by instrument based on forged document,,14y,,
cc376(1),counterfeiting stamp,,14y,,
cc376(2),counterfeiting mark,,14y,,
cc377,damaging documents,,5y,,summary
cc378,offences in relation to registers,,5y,,summary
cc380(1)(a),fraud — over $5000,,14y,,
cc380(1)(b),fraud — under $5000,,2y,,summary
cc380(1.1),fraud — over $1000000,2y,14y,,
cc380(2),fraud — affecting public market,,14y,,
cc380.2,failure to comply with prohibition order,,2y,,summary
cc381,using mails to defraud,,2y,,summary
cc382,fraudulent manipulation of stock exchange transactions,,10y,,summary
cc382.1(1),prohibited insider trading,,10y,,summary
cc382.1(2),prohibited insider trading — tipping,,5y,,summary
cc383,gaming in stocks or merchandise,,5y,,summary
cc384,broker reducing stock by selling for their own account,,5y,,summary
cc385,fraudulent concealment of title documents,,2y,,summary
cc386,fraudulent registration of title,,5y,,summary
cc387,fraudulent sale of real property,,2y,,summary
cc388,misleading receipt,,2y,,summary
cc389,fraudlent disposal of goods on which money advanced,,2y,,summary
cc390,fraudulent receipts under bank act,,2y,,summary
cc391,trade secret,,14y,,summary
cc392,disposal of property to defraud creditors,,2y,,summary
cc393(1),commit fraud in relation to fares,,2y,,summary
cc393(2),enduce fraud in relation to fares,,2y,,summary
cc393(3),fraudulently obtaining transportation,,,,summary
cc394,fraud in relation to valuable minerals,,5y,,summary
cc394.1,possession of stolen or fraudulently obtained valuable minerals,,5y,,summary
cc396,offences in relation to mines,,10y,,summary
cc397(1),falsification of books and documents,,5y,,summary
cc397(2),being privy to falsification of books and documents,,5y,,summary
cc398,falsifying employment record,,,,summary
cc399,false return by public officer,,5y,,summary
cc400,false prospectus,,10y,,summary
cc401,obtaining carriabe by false billing,,,,summary
cc402.2,theft of or trafficking in identity information,,5y,,summary
cc403,identity fraud,,10y,,summary
cc405,acknowledging instrument in false name,,5y,,summary
cc407,forging trademark,,2y,,summary
cc408,passing off,,2y,,summary
cc409,instruments for forging trademark,,2y,,summary
cc410,other offences in relation to trademarks,,2y,,summary
cc411,used goods sold without disclosure,,2y,,summary
cc415,offences in relation to wreck,,2y,,summary
cc417(1),applying or removing marks without authority,,2y,,summary
cc417(2),unlawful transactions in public stores,,2y,,summary
cc418(1),selling defective stores to her majesty,,14y,,
cc418(2),offences by representatives,,14y,,
cc419,unlawful use of military uniforms or certifictes,,,,summary
cc420,military stores,,5y,,summary
cc422,criminal breach of contract,,5y,,summary
cc423,intimidation,,5y,,summary
cc423.1,intimidation of a justice system participant or journalist,,14y,,
cc423.2,intimidation — health services,,10y,,summary
cc424,threat against internationally protected person,,5y,,summary
cc424.1,threat against united nations or associated personnel,,10y,,summary
cc425,offences by employers,,,,summary
cc425.1,threats and retaliation against employees,,5y,,summary
cc426,secret commissions,,5y,,summary
cc430(2),mischief — endangering life,,life,,
cc430(3),mischief — over $5000,,10y,,summary
cc430(4),mischief — under $5000,,2y,,summary
cc430(4.1),mischief — religious property educational institutions,,10y,,summary
cc430(4.11),mischief — war memorials — first offence,1000$,10y,1000$,729d
cc430(4.11),mischief — war memorials — second offence,14d,10y,14d,729d
cc430(4.11),mischief — war memorials — subsequent offence,30d,10y,30d,729d
cc430(4.2),mischief — cultural property,,10y,,summary
cc430(5),mischief — computer data,,10y,,summary
cc430(5.1),mischief — omitting to prevent mischief to data,,10y,,summary
cc431,attack on premises residence or transport of internationally protected person,,14y,,
cc431.1,attack on premises residence or transport of united nations or associated personnel,,14y,,
cc431.2,explosive or other lethal device,,life,,
cc432(1),unauthorized recording of a movie,,2y,,summary
cc432(2),unauthorized recording for purpose of sale,,5y,,summary
cc433,arson — disregard for human life,,life,,
cc434,arson — damage to property,,14y,,
cc434.1,arson — own property,,14y,,
cc435,arson — fraudulent purpose,,10y,,summary
cc436,arson — negligence,,5y,,summary
